USA500IDXUSD_D1 2013-05-23 00:00,1658.773,1659.897,1634.363,1654.863,1369
USA500IDXUSD_D1 2013-05-24 00:00,1654.888,1656.685,1652.39,1653.375,224
USA500IDXUSD_D1 2013-05-27 00:00,1653.384,1655.397,1645.861,1653.872,1015
USA500IDXUSD_D1 2013-05-28 00:00,1653.877,1674.197,1653.672,1656.397,1366
USA500IDXUSD_D1 2013-05-29 00:00,1656.37,1657.9,1639.494,1647.181,1370
USA500IDXUSD_D1 2013-05-30 00:00,1647.193,1661.997,1642.186,1654.477,1364
USA500IDXUSD_D1 2013-05-31 00:00,1654.489,1659.188,1628.661,1628.661,1237
USA500IDXUSD_D1 2013-06-03 00:00,1632.177,1640.098,1622.087,1635.581,496
USA500IDXUSD_D1 2013-06-04 00:00,1635.48,1646.7,1623.173,1630.99,1368
USA500IDXUSD_D1 2013-06-05 00:00,1630.876,1633,1606.47,1610.689,1369
